"Year","State","Force","Unemployed","Employed","Ratio"
"2014","MA",3568320,204883,3363437,0.0574172159447583
"2014","MD",3123051,181487,2941564,0.0581120833441401
"2014","ME",696316,39125,657191,0.0561885695574998
"2014","MI",4761393,344365,4417028,0.0723244227057082
"2014","MN",2972812,124020,2848792,0.0417180770260615
"2014","MO",3046917,186949,2859968,0.0613567747332796
"2014","MS",1250182,93835,1156347,0.0750570716903619
"2014","MT",512244,23909,488335,0.0466750220597996
"2014","NC",4696796,296475,4400321,0.0631228181935089
"2014","ND",413546,11022,402524,0.0266524159343822
"2014","NE",1010821,33201,977620,0.0328455780004571
"2014","NH",743318,31769,711549,0.042739446643294
"2014","NJ",4487040,303498,4183542,0.0676387997432606
"2014","NM",931758,62197,869561,0.0667523112224419
"2014","NV",1388771,109962,1278809,0.07917936074414
"2014","NY",9529422,603725,8925697,0.0633537899780281
"2014","OH",5704382,331323,5373059,0.0580821901478548
"2014","OK",1798266,80635,1717631,0.0448404184920362
"2014","OR",1936871,131343,1805528,0.0678119503054153
"2014","PA",6392358,374432,6017926,0.0585749421418513
"2014","PR",1132102,157233,974869,0.138885895440517
"2014","RI",556579,42825,513754,0.0769432551353896
"2014","SC",2222348,143752,2078596,0.0646847388437814
"2014","SD",446723,15335,431388,0.0343277601556222
"2014","TN",3024198,199139,2825059,0.0658485324042936
"2014","TX",13039472,665289,12374183,0.0510211609795243
"2014","UT",1427065,54429,1372636,0.0381405191774726
"2014","VA",4241195,221718,4019477,0.0522772473324146
"2014","VT",347055,13674,333381,0.0394000950857933
"2014","WA",3491491,213948,3277543,0.0612769730753996
"2014","WI",3081552,166556,2914996,0.0540493881005415
"2014","WV",788825,52351,736474,0.0663657972300574
"2014","WY",305968,12668,293300,0.0414030225383047
"2015","AK",363397,23674,339723,0.0651463826063506
"2015","AL",2158307,131400,2026907,0.0608810516761517
"2015","AR",1331637,67099,1264538,0.0503883565866674
"2015","AZ",3166615,192074,2974541,0.0606559370179198
"2015","CA",18851088,1169237,17681851,0.0620249080583572
"2015","CO",2828880,109379,2719501,0.0386651254206612
"2015","CT",1888879,108037,1780842,0.0571963582632874
"2015","DC",389218,26798,362420,0.0688508753449224
"2015","DE",465732,22632,443100,0.0485944706397671
"2015","FL",9608400,523916,9084484,0.0545268723200533
"2015","GA",4775468,285046,4490422,0.0596896471717536
"2015","HI",673969,24018,649951,0.0356366539113817
"2015","IA",1701520,64259,1637261,0.0377656448352062
"2015","ID",795989,33707,762282,0.0423460625712164
"2015","IL",6510826,388200,6122626,0.0596237712388566
"2015","IN",3266534,157805,3108729,0.0483096150231407
"2015","KS",1490701,62135,1428566,0.041681732285683
"2015","KY",1979704,104828,1874876,0.0529513503028736
"2015","LA",2158662,136513,2022149,0.0632396364044024
"2015","MA",3590348,172558,3417790,0.0480616363650543
"2015","MD",3139754,159745,2980009,0.0508781898199668
"2015","ME",683207,29965,653242,0.0438593281392023
"2015","MI",4759311,258306,4501005,0.0542738224083276
"2015","MN",2997757,110621,2887136,0.0369012565061144
"2015","MO",3075235,154471,2920764,0.0502306327809094
"2015","MS",1265253,80977,1184276,0.0640006386074564
"2015","MT",517569,21587,495982,0.0417084485353644
"2015","NC",4770870,273552,4497318,0.0573379698042495
"2015","ND",413071,11534,401537,0.0279225605283353
"2015","NE",1007263,30269,976994,0.0300507414647416
"2015","NH",745460,25099,720361,0.033669143884313
"2015","NJ",4489006,259845,4229161,0.0578847522146328
"2015","NM",934225,60800,873425,0.0650806818485911
"2015","NV",1407273,95171,1312102,0.0676279584700339
"2015","NY",9561881,504409,9057472,0.0527520683430384
"2015","OH",5696702,279784,5416918,0.0491133290805803
"2015","OK",1832671,80818,1751853,0.0440984770316112
"2015","OR",1978636,110724,1867912,0.0559597621796025
"2015","PA",6415823,339902,6075921,0.052978705927517
"2015","PR",1119808,134050,985758,0.119708021375093
"2015","RI",554584,33210,521374,0.0598827229058177
"2015","SC",2267555,135453,2132102,0.0597352655172642
"2015","SD",449861,13942,435919,0.0309917952434196
"2015","TN",3061513,172098,2889415,0.0562133820761173
"2015","TX",13095850,582153,12513697,0.0444532428211991
"2015","UT",1460660,52843,1407817,0.0361774814125122
"2015","VA",4216148,187743,4028405,0.0445295089261572
"2015","VT",344629,12274,332355,0.0356151107422765
"2015","WA",3550453,200457,3349996,0.0564595560059519
"2015","WI",3092185,140697,2951488,0.0455008351699526
"2015","WV",781906,52689,729217,0.0673853378794893
"2015","WY",304400,13106,291294,0.0430551905387648
"2016","AK",362235,24865,337370,0.0686432840559305
"2016","AL",2177218,127239,2049979,0.0584410931748681
"2016","AR",1340009,53128,1286881,0.039647494904885
"2016","AZ",3240593,174581,3066012,0.0538731645720398
"2016","CA",19044474,1041700,18002774,0.054698281506751
"2016","CO",2896779,93338,2803441,0.032221305111643
"2016","CT",1891276,97370,1793906,0.0514837601703823
"2016","DC",395424,24129,371295,0.0610205753823744
"2016","DE",472243,21331,450912,0.0451695419519188
"2016","FL",9825697,471134,9354563,0.0479491683897845
"2016","GA",4921505,263447,4658058,0.0535297637612885
"2016","HI",682961,20177,662784,0.0295434146312893
"2016","IA",1694148,60823,1633325,0.0359018220367996
"2016","ID",815081,30907,784174,0.0379189307565751
"2016","IL",6549853,380324,6169529,0.0580660359858458
"2016","IN",3328905,147003,3181902,0.044159565983409
"2016","KS",1485335,59892,1425443,0.0403222168736346
"2016","KY",2014115,103210,1910905,0.0512433500569729
"2016","LA",2121079,128449,1992630,0.0605583290391353
"2016","MA",3619688,140250,3479438,0.0387464333942594
"2016","MD",3160074,140923,3019151,0.0445948417663637
"2016","ME",691227,26168,665059,0.0378573174948317
"2016","MI",4848090,241395,4606695,0.0497917736675681
"2016","MN",3033411,117057,2916354,0.0385892317262646
"2016","MO",3080862,140543,2940319,0.0456180770187045
"2016","MS",1279437,74245,1205192,0.0580294301321597
"2016","MT",522157,21642,500515,0.0414473041633072
"2016","NC",4860272,246969,4613303,0.0508138227654749
"2016","ND",412770,12773,399997,0.0309445938416067
"2016","NE",1009446,30910,978536,0.0306207563356534
"2016","NH",751316,21422,729894,0.0285126364938322
"2016","NJ",4474687,222626,4252061,0.0497523066976528
"2016","NM",936349,61925,874424,0.0661345288989469
"2016","NV",1424145,81672,1342473,0.0573480930663661
"2016","NY",9557101,463531,9093570,0.0485012139141357
"2016","OH",5739031,288399,5450632,0.0502522115667262
"2016","OK",1832010,88194,1743816,0.0481405669183028
"2016","OR",2048357,98425,1949932,0.0480507060048615
"2016","PA",6450059,347048,6103011,0.0538053992994483
"2016","PR",1115421,131211,984210,0.117633610986345
"2016","RI",553418,28716,524702,0.051888445984771
"2016","SC",2290570,114980,2175590,0.0501971125091135
"2016","SD",452781,13484,439297,0.0297804015627864
"2016","TN",3128889,147274,2981615,0.0470691034421483
"2016","TX",13347330,616192,12731138,0.0461659373073117
"2016","UT",1506242,51842,1454400,0.0344181081127734
"2016","VA",4242677,173626,4069051,0.0409236903964172
"2016","VT",344808,11162,333646,0.0323716387090787
"2016","WA",3643696,192318,3451378,0.0527810223465404
"2016","WI",3125315,125080,3000235,0.0400215658261647
"2016","WV",782912,47752,735160,0.0609928063434971
"2016","WY",300738,16054,284684,0.0533820135799267
"2017","AK",360762,25076,335686,0.0695084293800345
"2017","AL",2178247,96568,2081679,0.0443328970497836
"2017","AR",1347634,49983,1297651,0.0370894471347562
"2017","AZ",3327952,162823,3165129,0.0489258859502781
"2017","CA",19205297,919805,18285492,0.0478932973543705
"2017","CO",2992418,81337,2911081,0.0271810288535893
"2017","CT",1896941,89433,1807508,0.0471459049069001
"2017","DC",401450,24297,377153,0.0605231037489102
"2017","DE",476845,21356,455489,0.0447860415858403
"2017","FL",10093457,424227,9669230,0.0420299011527963
"2017","GA",5058964,236696,4822268,0.0467874450183872
"2017","HI",683619,16609,667010,0.0242956968720881
"2017","IA",1678354,51966,1626388,0.0309624787142641
"2017","ID",834696,26876,807820,0.0321985489327851
"2017","IL",6489618,319069,6170549,0.0491660680181792
"2017","IN",3336661,118539,3218122,0.0355262341604376
"2017","KS",1478718,53998,1424720,0.0365167665504849
"2017","KY",2053763,100726,1953037,0.0490446073865388
"2017","LA",2103642,107694,1995948,0.0511940719951399
"2017","MA",3695995,138956,3557039,0.0375963712072121
"2017","MD",3193489,135816,3057673,0.0425290332924272
"2017","ME",698421,23671,674750,0.0338921653272167
"2017","MI",4886092,225376,4660716,0.0461260246430071
"2017","MN",3057027,104064,2952963,0.0340409162235073
"2017","MO",3061452,115106,2946346,0.0375984990128867
"2017","MS",1280576,65273,1215303,0.0509715940326853
"2017","MT",524918,20661,504257,0.0393604334391276
"2017","NC",4938087,220850,4717237,0.0447237968873371
"2017","ND",410394,10946,399448,0.0266719299015093
"2017","NE",1011635,29190,982445,0.0288542804469992
"2017","NH",754466,20480,733986,0.027145027078755
"2017","NJ",4453526,205989,4247537,0.0462530139040392
"2017","NM",936238,54985,881253,0.0587297247067519
"2017","NV",1458347,73740,1384607,0.0505640975707428
"2017","NY",9561409,447801,9113608,0.0468342061300798
"2017","OH",5770180,287040,5483140,0.0497454152210156
"2017","OK",1836282,77861,1758421,0.0424014394303271
"2017","OR",2090659,86079,2004580,0.0411731420571217
"2017","PA",6424630,314074,6110556,0.0488859280612269
"2017","PR",1096143,118806,977337,0.108385493498567
"2017","RI",553688,24436,529252,0.0441331580240135
"2017","SC",2306019,98619,2207400,0.0427659095610227
"2017","SD",456104,14549,441555,0.0318984266746181
"2017","TN",3190177,119917,3070260,0.0375894503659201
"2017","TX",13589234,586388,13002846,0.0431509237386007
"2017","UT",1548263,50451,1497812,0.0325855490959869
"2017","VA",4309592,159459,4150133,0.0370009504379997
"2017","VT",346136,10281,335855,0.0297021979799847
"2017","WA",3718904,175237,3543667,0.0471206032745131
"2017","WI",3140412,102956,3037456,0.0327842334063174
"2017","WV",779592,40513,739079,0.0519669262896489
"2017","WY",292924,12234,280690,0.0417650994797285
"2018","AK",356886,23510,333376,0.0658753775715495
"2018","AL",2198844,86493,2112351,0.0393356691061303
"2018","AR",1351498,50038,1301460,0.0370241021444353
"2018","AZ",3439758,166205,3273553,0.0483188061485721
"2018","CA",19398212,815409,18582803,0.0420352659306951
"2018","CO",3096364,101608,2994756,0.0328152633217542
"2018","CT",1905313,78243,1827070,0.0410656936681795
"2018","DC",404610,22470,382140,0.055534959590717
"2018","DE",482465,18128,464337,0.0375737100100525
"2018","FL",10234772,365099,9869673,0.0356724116570452
"2018","GA",5107673,201255,4906418,0.0394024832834835
"2018","HI",678735,16607,662128,0.0244675757106971
"2018","IA",1686848,42570,1644278,0.0252364172705543
"2018","ID",857054,24321,832733,0.0283774417947994
"2018","IL",6469683,278358,6191325,0.0430249828314618
"2018","IN",3381721,116142,3265579,0.0343440514459945
"2018","KS",1482228,49835,1432393,0.0336216830339192
"2018","KY",2061631,89319,1972312,0.0433244358471521
"2018","LA",2103502,102708,2000794,0.0488271463492785
"2018","MA",3805451,127049,3678402,0.0333860559497416
"2018","MD",3197137,125484,3071653,0.0392488654693246
"2018","ME",698749,23527,675222,0.0336701734099083
"2018","MI",4902081,203231,4698850,0.041458107281377
"2018","MN",3070229,89340,2980889,0.0290988066362477
"2018","MO",3052398,97585,2954813,0.0319699462520943
"2018","MS",1275732,60737,1214995,0.0476095292741736
"2018","MT",528250,19659,508591,0.0372153336488405
